,Cday,CT,bin_ct,data_ct,both_mid_ct,both_midsep_ct
613,3,13,4,27.500000000007276,55.00000000001455,0.0
614,3,13,5,104.49999999997453,188.9999999998181,10.000000000065484
615,3,13,6,3.500000000032742,7.000000000065484,0.0
616,3,13,7,3.99999999996362,7.99999999992724,0.0
617,3,13,8,0.0,0.0,0.0
618,3,13,9,0.0,0.0,0.0
619,3,13,10,0.0,0.0,0.0
620,3,14,1,0.0,0.0,0.0
621,3,14,2,0.0,0.0,0.0
622,3,14,3,0.0,0.0,0.0
623,3,14,4,0.0,0.0,0.0
624,3,14,5,0.0,0.0,0.0
625,3,14,6,0.0,0.0,0.0
626,3,14,7,0.0,0.0,0.0
627,3,14,8,0.0,0.0,0.0
628,3,14,9,0.0,0.0,0.0
629,3,14,10,15.500000000029104,31.000000000058208,0.0
630,3,15,1,142.00000000003274,284.0000000000655,0.0
631,3,15,2,0.0,0.0,0.0
632,3,15,3,0.0,0.0,0.0
633,3,15,4,0.0,0.0,0.0
634,3,15,5,0.0,0.0,0.0
635,3,15,6,0.0,0.0,0.0
636,3,15,7,0.0,0.0,0.0
637,3,15,8,0.0,0.0,0.0
638,3,15,9,0.0,0.0,0.0
639,3,15,10,0.0,0.0,0.0
640,3,16,1,0.0,0.0,0.0
641,3,16,2,0.0,0.0,0.0
642,3,16,3,0.0,0.0,0.0
643,3,16,4,0.0,0.0,0.0
644,3,16,5,0.0,0.0,0.0
645,3,16,6,0.0,0.0,0.0
646,3,16,7,0.0,0.0,0.0
647,3,16,8,0.0,0.0,0.0
648,3,16,9,0.0,0.0,0.0
649,3,16,10,0.0,0.0,0.0
650,3,17,1,13.499999999985448,15.0,5.999999999985448
651,3,17,2,0.0,0.0,0.0
652,3,17,3,0.0,0.0,0.0
653,3,17,4,0.0,0.0,0.0
654,3,17,5,0.0,0.0,0.0
655,3,17,6,0.0,0.0,0.0
656,3,17,7,0.0,0.0,0.0
